Item_Identifier,Outlet_Identifier,Predicted_Sales
FDE51,9,1044.6501197257812
FDE51,3,1093.7388421360108
FDE51,0,-818.8821125848608
FDE51,1,476.95911886713793
FDE51,5,2104.3850308797473
FDE51,7,703.956686512415
FDE51,2,376.02926708466316
FDE51,8,621.5983601097037
FDE51,6,277.93348283557543
FDE51,4,-491.9900778278925
FDC14,9,1104.4887837219417
FDC14,3,1153.5775061321713
FDC14,0,-759.0434485887004
FDC14,1,536.7977828632984
FDC14,5,2164.223694875908
FDC14,7,763.7953505085754
FDC14,2,435.8679310808236
FDC14,8,681.4370241058641
FDC14,6,337.7721468317359
FDC14,4,-432.1514138317325
FDV38,9,1116.0967065042894
FDV38,3,1165.185428914519
FDV38,0,-747.4355258063524
FDV38,1,548.4057056456461
FDV38,5,2175.8316176582557
FDV38,7,775.4032732909232
FDV38,2,447.4758538631713
FDV38,8,693.0449468882118
FDV38,6,349.38006961408337
FDV38,4,-420.54349104938456
NCS17,9,1797.8393243123658
NCS17,3,1846.9280467225954
NCS17,0,-65.6929079982765
NCS17,1,1230.1483234537225
NCS17,5,2857.574235466332
NCS17,7,1457.1458910989993
NCS17,2,1129.2184716712477
NCS17,8,1374.7875646962882
NCS17,6,1031.1226874221597
NCS17,4,261.1991267586916
FDP33,9,4314.432062754694
FDP33,3,4363.520785164924
FDP33,0,2450.8998304440524
FDP33,1,3746.741061896051
FDP33,5,5374.166973908661
FDP33,7,3973.738629541328
FDP33,2,3645.8112101135766
FDP33,8,3891.380303138617
FDP33,6,3547.7154258644887
FDP33,4,2777.7918652010203
FDO23,9,1696.138725230682
FDO23,3,1745.2274476409118
FDO23,0,-167.39350707995982
FDO23,1,1128.4477243720387
FDO23,5,2755.8736363846483
FDO23,7,1355.4452920173158
FDO23,2,1027.517872589564
FDO23,8,1273.0869656146047
FDO23,6,929.422088340476
FDO23,4,159.49852767700804
DRH01,9,2981.167443475309
DRH01,3,3030.2561658855384
DRH01,0,1117.6352111646672
DRH01,1,2413.4764426166657
DRH01,5,4040.9023546292756
DRH01,7,2640.4740102619426
DRH01,2,2312.5465908341907
DRH01,8,2558.1156838592315
DRH01,6,2214.4508065851032
DRH01,4,1444.5272459216349
NCX29,9,2582.1161198729637
NCX29,3,2631.204842283193
NCX29,0,718.5838875623217
NCX29,1,2014.4251190143202
NCX29,5,3641.85103102693
NCX29,7,2241.4226866595973
NCX29,2,1913.4952672318454
NCX29,8,2159.064360256886
NCX29,6,1815.3994829827575
NCX29,4,1045.4759223192896
FDV20,9,2403.5826566468522
FDV20,3,2452.6713790570816
FDV20,0,540.0504243362102
FDV20,1,1835.8916557882087
FDV20,5,3463.3175678008183
FDV20,7,2062.8892234334858
FDV20,2,1734.961804005734
FDV20,8,1980.5308970307747
FDV20,6,1636.866019756646
FDV20,4,866.9424590931781
DRZ11,9,2281.9899458632713
DRZ11,3,2331.078668273501
DRZ11,0,418.45771355262946
DRZ11,1,1714.298945004628
DRZ11,5,3341.724857017238
DRZ11,7,1941.296512649905
DRZ11,2,1613.3690932221532
DRZ11,8,1858.938186247194
DRZ11,6,1515.2733089730652
DRZ11,4,745.3497483095973
FDX10,9,901.3861516454356
FDX10,3,950.4748740556652
FDX10,0,-962.1460806652067
FDX10,1,333.6951507867923
FDX10,5,1961.121062799402
FDX10,7,560.6927184320693
FDX10,2,232.7652990043175
FDX10,8,478.334392029358
FDX10,6,134.66951475522956
FDX10,4,-635.2540459082384
FDB34,9,1758.235564149087
FDB34,3,1807.3242865593168
FDB34,0,-105.29666816155486
FDB34,1,1190.5445632904436
FDB34,5,2817.9704753030533
FDB34,7,1417.5421309357207
FDB34,2,1089.6147115079689
FDB34,8,1335.1838045330096
FDB34,6,991.5189272588809
FDB34,4,221.595366595413
FDK43,9,2403.617539903839
FDK43,3,2452.7062623140687
FDK43,0,540.0853075931971
FDK43,1,1835.9265390451956
FDK43,5,3463.3524510578054
FDK43,7,2062.9241066904724
FDK43,2,1734.9966872627208
FDK43,8,1980.5657802877615
FDK43,6,1636.900903013633
FDK43,4,866.9773423501649
FDA46,9,3316.236790859488
FDA46,3,3365.3255132697172
FDA46,0,1452.7045585488459
FDA46,1,2748.545790000844
FDA46,5,4375.971702013454
FDA46,7,2975.543357646121
FDA46,2,2647.6159382183696
FDA46,8,2893.18503124341
FDA46,6,2549.5201539692816
FDA46,4,1779.5965933058135
FDC02,9,4367.943495490498
FDC02,3,4417.032217900728
FDC02,0,2504.411263179856
FDC02,1,3800.2524946318554
FDC02,5,5427.678406644465
FDC02,7,4027.250062277132
FDC02,2,3699.3226428493804
FDC02,8,3944.891735874421
FDC02,6,3601.2268586002924
FDC02,4,2831.3032979368245
FDL50,9,2416.062250103278
FDL50,3,2465.1509725135074
FDL50,0,552.530017792636
FDL50,1,1848.3712492446346
FDL50,5,3475.797161257244
FDL50,7,2075.3688168899116
FDL50,2,1747.4413974621598
FDL50,8,1993.0104904872005
FDL50,6,1649.3456132130718
FDL50,4,879.4220525496039
FDM39,9,3160.9523281220945
FDM39,3,3210.041050532324
FDM39,0,1297.4200958114525
FDM39,1,2593.2613272634508
FDM39,5,4220.687239276061
FDM39,7,2820.2588949087276
FDM39,2,2492.331475480976
FDM39,8,2737.9005685060165
FDM39,6,2394.2356912318883
FDM39,4,1624.3121305684201
NCP05,9,2781.2663764591202
NCP05,3,2830.3550988693496
NCP05,0,917.7341441484784
NCP05,1,2213.575375600477
NCP05,5,3841.001287613087
NCP05,7,2440.572943245754
NCP05,2,2112.645523818002
NCP05,8,2358.2146168430427
NCP05,6,2014.5497395689142
NCP05,4,1244.626178905446
FDV49,9,4544.742680462
FDV49,3,4593.83140287223
FDV49,0,2681.210448151358
FDV49,1,3977.051679603356
FDV49,5,5604.477591615966
FDV49,7,4204.049247248633
FDV49,2,3876.1218278208817
FDV49,8,4121.690920845923
FDV49,6,3778.026043571794
FDV49,4,3008.1024829083262
FDL12,9,1237.037032807188
FDL12,3,1286.1257552174177
FDL12,0,-626.4951995034539
FDL12,1,669.3460319485448
FDL12,5,2296.7719439611546
FDL12,7,896.3435995938219
FDL12,2,568.41618016607
FDL12,8,813.9852731911105
FDL12,6,470.3203959169823
FDL12,4,-299.6031647464861
FDS02,9,3368.518821715743
FDS02,3,3417.6075441259727
FDS02,0,1504.9865894051013
FDS02,1,2800.8278208570996
FDS02,5,4428.253732869709
FDS02,7,3027.825388502377
FDS02,2,2699.897969074625
FDS02,8,2945.467062099666
FDS02,6,2601.802184825537
FDS02,4,1831.878624162069
NCL17,9,2576.5807518930715
NCL17,3,2625.669474303301
NCL17,0,713.0485195824294
NCL17,1,2008.8897510344277
NCL17,5,3636.3156630470376
NCL17,7,2235.887318679705
NCL17,2,1907.9598992519532
NCL17,8,2153.528992276994
NCL17,6,1809.8641150028652
NCL17,4,1039.940554339397
FDM40,9,2526.4366949592622
FDM40,3,2575.525417369492
FDM40,0,662.9044626486207
FDM40,1,1958.745694100619
FDM40,5,3586.171606113229
FDM40,7,2185.7432617458962
FDM40,2,1857.8158423181444
FDM40,8,2103.384935343185
FDM40,6,1759.7200580690564
FDM40,4,989.7964974055883
FDR13,9,2312.6978377243568
FDR13,3,2361.7865601345866
FDR13,0,449.16560541371496
FDR13,1,1745.0068368657135
FDR13,5,3372.432748878323
FDR13,7,1972.0044045109905
FDR13,2,1644.0769850832387
FDR13,8,1889.6460781082794
FDR13,6,1545.9812008341507
FDR13,4,776.0576401706828
FDA43,9,3396.4832846257323
FDA43,3,3445.572007035962
FDA43,0,1532.9510523150902
FDA43,1,2828.7922837670885
FDA43,5,4456.218195779698
FDA43,7,3055.789851412366
FDA43,2,2727.862431984614
FDA43,8,2973.4315250096547
FDA43,6,2629.766647735526
FDA43,4,1859.843087072058
NCP18,9,2767.1825112974325
NCP18,3,2816.2712337076623
NCP18,0,903.6502789867907
NCP18,1,2199.491510438789
NCP18,5,3826.917422451399
NCP18,7,2426.489078084066
NCP18,2,2098.561658656314
NCP18,8,2344.130751681355
NCP18,6,2000.4658744072265
NCP18,4,1230.5423137437583
FDK21,9,4355.023883053046
FDK21,3,4404.112605463275
FDK21,0,2491.491650742404
FDK21,1,3787.3328821944024
FDK21,5,5414.758794207012
FDK21,7,4014.3304498396797
FDK21,2,3686.403030411928
FDK21,8,3931.972123436968
FDK21,6,3588.30724616284
FDK21,4,2818.383685499372
NCX54,9,2045.14891370801
NCX54,3,2094.2376361182396
NCX54,0,181.61668139736798
NCX54,1,1477.4579128493665
NCX54,5,3104.8838248619763
NCX54,7,1704.4554804946436
NCX54,2,1376.528061066892
NCX54,8,1622.0971540919325
NCX54,6,1278.432276817804
NCX54,4,508.50871615433584
DRK35,9,928.5578073605329
DRK35,3,977.6465297707625
DRK35,0,-934.9744249501091
DRK35,1,360.86680650188964
DRK35,5,1988.2927185144993
DRK35,7,587.8643741471667
DRK35,2,259.93695471941487
DRK35,8,505.5060477444554
DRK35,6,161.84117047032714
DRK35,4,-608.0823901931408
FDY21,9,3299.1593792358367
FDY21,3,3348.2481016460665
FDY21,0,1435.627146925195
FDY21,1,2731.4683783771934
FDY21,5,4358.894290389803
FDY21,7,2958.4659460224702
FDY21,2,2630.538526594719
FDY21,8,2876.107619619759
FDY21,6,2532.442742345631
FDY21,4,1762.5191816821625
FDI26,9,3195.449467002375
FDI26,3,3244.538189412605
FDI26,0,1331.9172346917335
FDI26,1,2627.758466143732
FDI26,5,4255.184378156342
FDI26,7,2854.756033789009
FDI26,2,2526.828614361257
FDI26,8,2772.397707386298
FDI26,6,2428.7328301121693
FDI26,4,1658.8092694487013
FDM20,9,4259.700340697888
FDM20,3,4308.789063108118
FDM20,0,2396.1681083872463
FDM20,1,3692.009339839245
FDM20,5,5319.435251851854
FDM20,7,3919.0069074845223
FDM20,2,3591.07948805677
FDM20,8,3836.648581081811
FDM20,6,3492.9837038076826
FDM20,4,2723.0601431442146
FDV27,9,1848.9755050346364
FDV27,3,1898.064227444866
FDV27,0,-14.556727276005404
FDV27,1,1281.2845041759929
FDV27,5,2908.7104161886027
FDV27,7,1508.28207182127
FDV27,2,1180.3546523935183
FDV27,8,1425.9237454185588
FDV27,6,1082.2588681444304
FDV27,4,312.33530748096223
FDF09,9,1046.117367231723
FDF09,3,1095.2060896419525
FDF09,0,-817.4148650789193
FDF09,1,478.42636637307965
FDF09,5,2105.8522783856893
FDF09,7,705.4239340183567
FDF09,2,377.4965145906049
FDF09,8,623.0656076156454
FDF09,6,279.4007303415169
FDF09,4,-490.522830321951
FDY40,9,1129.6688830763103
FDY40,3,1178.75760548654
FDY40,0,-733.8633492343315
FDY40,1,561.977882217667
FDY40,5,2189.4037942302766
FDY40,7,788.9754498629441
FDY40,2,461.04803043519223
FDY40,8,706.6171234602327
FDY40,6,362.9522461861043
FDY40,4,-406.97131447736365
FDY45,9,4383.527481536875
FDY45,3,4432.616203947104
FDY45,0,2519.9952492262328
FDY45,1,3815.836480678231
FDY45,5,5443.262392690841
FDY45,7,4042.8340483235083
FDY45,2,3714.9066288957565
FDY45,8,3960.475721920797
FDY45,6,3616.8108446466686
FDY45,4,2846.8872839832006
FDC46,9,3121.072746602239
FDC46,3,3170.1614690124684
FDC46,0,1257.540514291597
FDC46,1,2553.3817457435953
FDC46,5,4180.807657756205
FDC46,7,2780.379313388872
FDC46,2,2452.4518939611207
FDC46,8,2698.020986986161
FDC46,6,2354.356109712033
FDC46,4,1584.4325490485646
FDH19,9,3101.646298239444
FDH19,3,3150.735020649674
FDH19,0,1238.1140659288026
FDH19,1,2533.9552973808013
FDH19,5,4161.38120939341
FDH19,7,2760.952865026078
FDH19,2,2433.0254455983263
FDH19,8,2678.594538623367
FDH19,6,2334.9296613492384
FDH19,4,1565.0061006857704
FDZ03,9,3319.1921468280298
FDZ03,3,3368.2808692382596
FDZ03,0,1455.6599145173882
FDZ03,1,2751.5011459693865
FDZ03,5,4378.927057981997
FDZ03,7,2978.4987136146638
FDZ03,2,2650.571294186912
FDZ03,8,2896.1403872119527
FDZ03,6,2552.475509937824
FDZ03,4,1782.5519492743558
DRH37,9,2944.101125819694
DRH37,3,2993.189848229924
DRH37,0,1080.5688935090525
DRH37,1,2376.410124961051
DRH37,5,4003.8360369736606
DRH37,7,2603.407692606328
DRH37,2,2275.480273178576
DRH37,8,2521.049366203617
DRH37,6,2177.3844889294883
DRH37,4,1407.4609282660203
NCI17,9,1738.5851077501677
NCI17,3,1787.6738301603975
NCI17,0,-124.9471245604741
NCI17,1,1170.8941068915244
NCI17,5,2798.320018904134
NCI17,7,1397.8916745368015
NCI17,2,1069.9642551090496
NCI17,8,1315.5333481340904
NCI17,6,971.8684708599617
NCI17,4,201.94491019649377
FDJ58,9,3013.8262499902667
FDJ58,3,3062.914972400496
FDJ58,0,1150.2940176796244
FDJ58,1,2446.135249131623
FDJ58,5,4073.5611611442328
FDJ58,7,2673.1328167768997
FDJ58,2,2345.2053973491484
FDJ58,8,2590.7744903741886
FDJ58,6,2247.1096131000604
FDJ58,4,1477.1860524365923
FDH35,9,2932.556020688722
FDH35,3,2981.6447430989515
FDH35,0,1069.02378837808
FDH35,1,2364.8650198300784
FDH35,5,3992.290931842688
FDH35,7,2591.8625874753557
FDH35,2,2263.935168047604
FDH35,8,2509.5042610726446
FDH35,6,2165.839383798516
FDH35,4,1395.915823135048
FDG02,9,3416.566454299672
FDG02,3,3465.6551767099018
FDG02,0,1553.0342219890301
FDG02,1,2848.8754534410286
FDG02,5,4476.301365453639
FDG02,7,3075.873021086306
FDG02,2,2747.945601658554
FDG02,8,2993.514694683595
FDG02,6,2649.849817409466
FDG02,4,1879.926256745998
NCZ18,9,4156.367705948022
NCZ18,3,4205.456428358251
NCZ18,0,2292.8354736373803
NCZ18,1,3588.6767050893786
NCZ18,5,5216.1026171019885
NCZ18,7,3815.674272734656
NCZ18,2,3487.746853306904
NCZ18,8,3733.3159463319444
NCZ18,6,3389.651069057816
NCZ18,4,2619.727508394348
FDC29,9,2281.0925330015457
FDC29,3,2330.181255411775
FDC29,0,417.56030069090366
FDC29,1,1713.4015321429022
FDC29,5,3340.827444155512
FDC29,7,1940.3990997881792
FDC29,2,1612.4716803604274
FDC29,8,1858.0407733854681
FDC29,6,1514.3758961113394
FDC29,4,744.4523354478715
FDQ10,9,3084.2769126628727
FDQ10,3,3133.3656350731026
FDQ10,0,1220.7446803522312
FDQ10,1,2516.58591180423
FDQ10,5,4144.01182381684
FDQ10,7,2743.5834794495067
FDQ10,2,2415.656060021755
FDQ10,8,2661.2251530467956
FDQ10,6,2317.560275772667
FDQ10,4,1547.636715109199
FDN48,9,1767.4738443256222
FDN48,3,1816.562566735852
FDN48,0,-96.05838798501964
FDN48,1,1199.7828434669789
FDN48,5,2827.2087554795885
FDN48,7,1426.780411112256
FDN48,2,1098.852991684504
FDN48,8,1344.4220847095448
FDN48,6,1000.7572074354161
FDN48,4,230.83364677194822
FDL04,9,1923.6555688941412
FDL04,3,1972.744291304371
FDL04,0,60.12333658349962
FDL04,1,1355.964568035498
FDL04,5,2983.3904800481077
FDL04,7,1582.9621356807747
FDL04,2,1255.0347162530231
FDL04,8,1500.6038092780639
FDL04,6,1156.9389320039352
FDL04,4,387.01537134046725
FDV25,9,3867.1085718120903
FDV25,3,3916.19729422232
FDV25,0,2003.5763395014485
FDV25,1,3299.4175709534475
FDV25,5,4926.843482966056
FDV25,7,3526.4151385987243
FDV25,2,3198.4877191709725
FDV25,8,3444.056812196013
FDV25,6,3100.3919349218845
FDV25,4,2330.4683742584166
FDD58,9,1927.809714625086
FDD58,3,1976.8984370353155
FDD58,0,64.27748231444366
FDD58,1,1360.1187137664424
FDD58,5,2987.5446257790522
FDD58,7,1587.1162814117195
FDD58,2,1259.1888619839679
FDD58,8,1504.7579550090084
FDD58,6,1161.09307773488
FDD58,4,391.16951707141175
FDN04,9,3303.13895343715
FDN04,3,3352.22767584738
FDN04,0,1439.606721126508
FDN04,1,2735.4479525785064
FDN04,5,4362.873864591116
FDN04,7,2962.4455202237837
FDN04,2,2634.518100796032
FDN04,8,2880.0871938210726
FDN04,6,2536.422316546944
FDN04,4,1766.498755883476
FDV45,9,3307.7816380204385
FDV45,3,3356.8703604306684
FDV45,0,1444.2494057097967
FDV45,1,2740.0906371617953
FDV45,5,4367.516549174405
FDV45,7,2967.0882048070725
FDV45,2,2639.1607853793203
FDV45,8,2884.7298784043614
FDV45,6,2541.0650011302323
FDV45,4,1771.1414404667644
NCL18,9,3187.620740929685
NCL18,3,3236.7094633399142
NCL18,0,1324.0885086190428
NCL18,1,2619.929740071041
NCL18,5,4247.355652083651
NCL18,7,2846.927307716318
NCL18,2,2518.9998882885666
NCL18,8,2764.568981313607
NCL18,6,2420.9041040394786
NCL18,4,1650.9805433760105
FDR12,9,3160.3497867800043
FDR12,3,3209.438509190234
FDR12,0,1296.8175544693622
FDR12,1,2592.6587859213605
FDR12,5,4220.08469793397
FDR12,7,2819.656353566638
FDR12,2,2491.728934138886
FDR12,8,2737.2980271639267
FDR12,6,2393.633149889798
FDR12,4,1623.70958922633
FDG20,9,3069.619333265716
FDG20,3,3118.708055675945
FDG20,0,1206.0871009550738
FDG20,1,2501.928332407072
FDG20,5,4129.354244419682
FDG20,7,2728.925900052349
FDG20,2,2400.9984806245975
FDG20,8,2646.5675736496382
FDG20,6,2302.9026963755095
FDG20,4,1532.9791357120414
FDZ55,9,2932.1992286382792
FDZ55,3,2981.2879510485086
FDZ55,0,1068.666996327637
FDZ55,1,2364.5082277796355
FDZ55,5,3991.9341397922453
FDZ55,7,2591.5057954249123
FDZ55,2,2263.578375997161
FDZ55,8,2509.147469022201
FDZ55,6,2165.482591748073
FDZ55,4,1395.5590310846048
FDQ49,9,2887.3881804947127
FDQ49,3,2936.476902904942
FDQ49,0,1023.8559481840709
FDQ49,1,2319.6971796360694
FDQ49,5,3947.1230916486793
FDQ49,7,2546.6947472813463
FDQ49,2,2218.7673278535945
FDQ49,8,2464.336420878635
FDQ49,6,2120.671543604507
FDQ49,4,1350.7479829410386
FDN33,9,1814.6357384242713
FDN33,3,1863.724460834501
FDN33,0,-48.896493886370536
FDN33,1,1246.944737565628
FDN33,5,2874.3706495782376
FDN33,7,1473.942305210905
FDN33,2,1146.0148857831532
FDN33,8,1391.583978808194
FDN33,6,1047.9191015340652
FDN33,4,277.9955408705973
FDN27,9,2219.925923509534
FDN27,3,2269.014645919764
FDN27,0,356.3936911988926
FDN27,1,1652.2349226508911
FDN27,5,3279.6608346635007
FDN27,7,1879.2324902961682
FDN27,2,1551.3050708684164
FDN27,8,1796.8741638934569
FDN27,6,1453.2092866193284
FDN27,4,683.2857259558602
FDW20,9,2332.3148177291896
FDW20,3,2381.4035401394194
FDW20,0,468.78258541854757
FDW20,1,1764.623816870546
FDW20,5,3392.0497288831557
FDW20,7,1991.6213845158231
FDW20,2,1663.6939650880713
FDW20,8,1909.263058113112
FDW20,6,1565.5981808389836
FDW20,4,795.6746201755154
DRG27,9,949.5337488451951
DRG27,3,998.6224712554247
DRG27,0,-913.998483465447
DRG27,1,381.8427479865518
DRG27,5,2009.2686599991614
DRG27,7,608.8403156318288
DRG27,2,280.912896204077
DRG27,8,526.4819892291175
DRG27,6,182.8171119549893
DRG27,4,-587.1064487084786
DRI25,9,1265.956451727301
DRI25,3,1315.0451741375307
DRI25,0,-597.5757805833409
DRI25,1,698.2654508686578
DRI25,5,2325.691362881267
